tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N298JB,2009.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N29917,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N301NB,1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N302DQ,2008.0,Fixed wing multi engine,BOEING,737-732,2,149,,Turbo-fan
N302NB,1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N303DQ,2008.0,Fixed wing multi engine,BOEING,737-732,2,149,,Turbo-fan
N30401,2001.0,Fixed wing multi engine,BOEING,737-924,2,191,,Turbo-fan
N304JB,2009.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N305DQ,2008.0,Fixed wing multi engine,BOEING,737-732,2,149,,Turbo-fan
N306DQ,2009.0,Fixed wing multi engine,BOEING,737-732,2,149,,Turbo-fan
N306JB,2009.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N307JB,2009.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N308DE,,Fixed wing multi engine,BOEING,737-732,2,149,,Turbo-fan
N309DE,2009.0,Fixed wing multi engine,BOEING,737-732,2,149,,Turbo-fan
N309JB,2009.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N309US,1990.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N310DE,2009.0,Fixed wing multi engine,BOEING,737-732,2,149,,Turbo-fan
N310NW,1990.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N312US,1990.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N315NB,2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N316JB,2009.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N316NB,2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N316US,1991.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N317JB,2010.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N317NB,2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N318NB,2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N318US,1991.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N319AA,1985.0,Fixed wing multi engine,BOEING,767-223,2,255,,Turbo-fan
N319NB,2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N319US,1991.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N320NB,2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N320US,1991.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N321NB,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N322US,1992.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N323AA,1986.0,Fixed wing multi engine,BOEING,767-223,2,255,,Turbo-fan
N323JB,2010.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N323NB,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N324JB,2010.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N324US,1992.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N325NB,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N325US,1992.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N326NB,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N327AA,1986.0,Fixed wing multi engine,BOEING,767-223,2,255,,Turbo-fan
N327NB,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N328AA,1986.0,Fixed wing multi engine,BOEING,767-223,2,255,,Turbo-fan
N328JB,2011.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N329JB,2011.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N329NW,1992.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N330NW,1992.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N33103,1994.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N33132,1998.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N331NW,1992.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N33203,2000.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N33262,2001.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N33264,2001.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N33266,2001.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N33284,2004.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N33292,,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N332AA,1987.0,Fixed wing multi engine,BOEING,767-223,2,255,,Turbo-fan
N332NB,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N333NB,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N333NW,1992.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-211,2,182,,Turbo-jet
N334JB,2011.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N334NW,1992.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N335AA,1987.0,Fixed wing multi engine,BOEING,767-223,2,255,,Turbo-fan
N335NB,2002.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N335NW,1992.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N336AA,1987.0,Fixed wing multi engine,BOEING,767-223,2,255,,Turbo-fan
N336NB,2002.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N33714,1998.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N337NB,2002.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2,145,,Turbo-fan
N338AA,1987.0,Fixed wing multi engine,BOEING,767-223,2,255,,Turbo-fan
N338NW,1992.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N339AA,1988.0,Fixed wing multi engine,BOEING,767-223,2,255,,Turbo-fan
N339JB,2011.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N340NB,2002.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N34111,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N34131,1998.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N34137,1999.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N341NW,1992.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N34222,1998.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N34282,2004.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N342NB,2002.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N343NB,2002.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N343NW,1993.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N34460,2012.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N344NB,2002.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N345NB,,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N345NW,1993.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N346JB,2011.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N346NB,2002.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N347NB,2002.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N348JB,2012.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N348NB,2002.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N348NW,1993.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N349NW,1996.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N350NA,1993.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N351JB,2012.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N351NB,2002.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N351NW,1997.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N35204,2000.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N35260,2001.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N35271,2001.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N352NW,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N353JB,2012.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N353NB,2002.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N35407,2001.0,Fixed wing multi engine,BOEING,737-924,2,191,,Turbo-fan
N354JB,2013.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N354NW,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N354SW,1991.0,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan
N355JB,2013.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N355NW,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N356NW,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N357NB,2002.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N357NW,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N358JB,2013.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N358NB,2003.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N358NW,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N359NB,2003.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N360NW,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N361VA,2013.0,Fixed wing multi engine,AIRBUS,A320-214,2,182,,Turbo-fan
N36207,2000.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N36247,1999.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N362NB,2003.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N362NW,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N363NB,2003.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N363NW,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N36444,2010.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N36447,2012.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N36472,2013.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N364AA,1973.0,Fixed wing multi engine,CESSNA,310Q,2,6,167.0,Reciprocating
N364NB,2003.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N364NW,1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N366NB,2003.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N366NW,1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N367NW,1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N368JB,2013.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N36915,2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan
N369NB,2003.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N370NB,2003.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N370NW,1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N371AA,1992.0,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan
N371CA,2003.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,,Turbo-fan
N371DA,1998.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N371NB,2003.0,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan
N371NW,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N37255,2000.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N37263,2001.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N37267,2001.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N37273,2001.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N37281,2003.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N37287,2004.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N37290,2004.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N372DA,1998.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3730B,2000.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3731T,2000.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3735D,2000.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3737C,2000.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N373JB,2013.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N373NW,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N37419,2008.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N37434,2009.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N37437,2009.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N3743H,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3744F,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N37456,2012.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N3745B,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N37466,2013.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N3746H,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N37471,2013.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N3749D,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N374DA,1998.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N374JB,2013.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N374NW,2001.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan
N3750D,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3751B,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3752,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3755D,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3756,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3758Y,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N375DA,1998.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N375JB,2013.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan
N3763D,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3764D,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3765,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3766,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3767,2001.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3768,2002.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3769L,2002.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N376NW,2002.0,Fixed wing multi engine,AIRBUS,A320-212,2,182,,Turbo-fan
N37700,2002.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3771K,2002.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N3772H,2010.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-fan
N377NW,2003.0,Fixed wing multi engine,AIRBUS,A320-211,2,182,,Turbo-fan
N378AA,1963.0,Fixed wing single engine,CESSNA,172E,1,4,105.0,Reciprocating
N379DA,1999.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N380DA,1999.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N381DN,1999.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N38257,2000.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N38268,2001.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N382DA,1999.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N383DN,1999.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N38403,2001.0,Fixed wing multi engine,BOEING,737-924,2,191,,Turbo-fan
N38424,2008.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N38443,2010.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N38446,2012.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N38458,2012.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N38459,2012.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N384AA,1993.0,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan
N384DA,1999.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N386AA,1994.0,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan
N38727,1999.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N388DA,2000.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N389DA,2000.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N390DA,2000.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N391CA,2003.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,,Turbo-fan
N39297,2005.0,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan
N392DA,2000.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N393DA,2000.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N39415,2008.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N39416,2008.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N39423,2008.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N39463,2012.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N395DN,2000.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N39726,1999.0,Fixed wing multi engine,BOEING,737-724,2,149,,Turbo-jet
N398DA,2000.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N399DA,2000.0,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet
N402AS,2012.0,Fixed wing multi engine,BOEING,737-990ER,2,222,,Turbo-fan
N402UA,1993.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N403UA,1993.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N404UA,1993.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N405UA,1993.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N405WN,2001.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N408WN,2001.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N41104,2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan
N41135,1999.0,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet
N413UA,1994.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N414UA,1994.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N415UA,1994.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N415WN,2001.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N417UA,1994.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N418UA,1994.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N420UA,1994.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N420WN,2001.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N421UA,1994.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N422UA,1995.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N424AA,1986.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,,Turbo-fan
N425UA,1995.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N426AA,1986.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2,172,,Turbo-fan
N426WN,2002.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N427UA,1995.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N429WN,2002.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N431UA,1996.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N432WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N434AA,1987.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,,Turbo-fan
N434UA,1996.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N435UA,1996.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N435WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N437AA,1987.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,,Turbo-fan
N438UA,1997.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N438WN,2003.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N439AA,1987.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2,172,,Turbo-fan
N439UA,1997.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N440LV,2003.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N440UA,1997.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N441UA,1997.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N442UA,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N443UA,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N444UA,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N445UA,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N446UA,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N447UA,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N448UA,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N450WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N451UA,1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N451WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N452UA,1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N453UA,1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N453WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N45440,2009.0,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan
N454WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N455UW,1991.0,Fixed wing multi engine,BOEING,737-4B7,2,149,,Turbo-fan
N456WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N459UA,2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N462UA,2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N463UA,2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N464UA,2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
N464WN,2004.0,Fixed wing multi engine,BOEING,737-7H4,2,140,,Turbo-fan
N465UA,2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2,200,,Turbo-fan
